lot,wafer,site,x,y,radius,vtn_mV,vtp_mV,idsat_uA,ioff_nA,rc_ohm,rs_ohm,rosc_MHz
lot_001,wafer_01,S00,0.0,0.0,0.05,299.5268951440393,-294.3366013098176,610.2952968750901,1.1156653979526123,22.164615929111392,12.680156547157345,1925.6806877008212
lot_001,wafer_01,S01,0.45,0.0,0.45,307.830707035965,-306.2818059308655,648.3986048960522,1.5595368259651736,19.778861181047446,14.501310248610647,1999.7739406783307
lot_001,wafer_01,S02,0.22500000000000006,0.3897114317029974,0.45,302.92825890037756,-298.4719304126976,602.3760210959442,1.080782580393267,16.850166316204604,15.511341043332346,2003.2660142619632
lot_001,wafer_01,S03,-0.2249999999999999,0.38971143170299744,0.45,313.60571148687166,-296.30116521023797,629.4646408472468,0.8154619437650532,20.272183417298905,16.0100909337144,2033.1831261209345
lot_001,wafer_01,S04,-0.45,5.5109105961630896e-17,0.45,301.23469274154525,-281.511899056537,644.8718452549109,0.8728558840519239,16.150407528647303,13.573170783990113,2002.2212795813793
lot_001,wafer_01,S05,-0.2250000000000002,-0.3897114317029973,0.45,301.65693461318637,-301.05251339832756,611.8083138919474,1.1265973699910756,19.082386563162586,12.2344333441252,1989.9137745314445
lot_001,wafer_01,S06,0.22500000000000006,-0.3897114317029974,0.45,310.587758222662,-306.84889732607974,632.4734434284957,1.1121733881280733,19.9745929065483,15.531455396083686,1970.1804187592613
lot_001,wafer_01,S07,0.692820323027551,0.39999999999999997,0.8,300.6270309161736,-282.39743299009666,618.516036083435,0.7850444831390293,22.283480232492646,13.23015074344834,2053.6939533101927
lot_001,wafer_01,S08,4.898587196589413e-17,0.8,0.8,300.9899275225798,-291.5721063146072,626.9002939810724,1.0039716363540236,21.68235045204722,14.899783565589924,1973.434449589489
lot_001,wafer_01,S09,-0.6928203230275508,0.4000000000000003,0.8,300.46632424578064,-316.1462307729574,617.2086549186577,0.6545261599714458,20.037831031562312,15.948301416475969,2021.0072745816465
lot_001,wafer_01,S10,-0.6928203230275511,-0.3999999999999998,0.8,298.57625299091865,-326.0145673977897,610.8515313688986,1.2504760688349972,19.046491053655412,15.720770008060711,1978.9251730115286
lot_001,wafer_01,S11,-1.4695761589768238e-16,-0.8,0.8,316.61005788444993,-319.7020059190621,610.2402175469307,0.9290929064877713,20.82124557676554,15.060427146778574,2005.6397592056123
lot_001,wafer_01,S12,0.6928203230275511,-0.39999999999999974,0.8,276.33781037772656,-277.23306218781187,624.0475721422132,0.8779552249415197,22.173782342481264,13.558131725298574,2011.5911079041064
lot_001,wafer_02,S00,0.0,0.0,0.05,285.7456183389593,-298.25278529384104,590.9620773903575,0.7616235962895604,17.72349619571666,13.483381770734772,1993.1195970464255
lot_001,wafer_02,S01,0.45,0.0,0.45,307.601350429412,-296.60501200853986,634.9602944150921,0.921510831777588,15.823670862065773,13.976048183551296,1943.4573382159444
lot_001,wafer_02,S02,0.22500000000000006,0.3897114317029974,0.45,302.27602199338344,-292.7531408244395,607.8328634066892,0.9673116151260021,20.920801145375115,16.50741228256257,1975.0567547159972
lot_001,wafer_02,S03,-0.2249999999999999,0.38971143170299744,0.45,309.373250341086,-303.4010590844655,636.5517735994844,0.47624999768461895,19.296191178148845,15.438378730705278,1958.1020502979206
lot_001,wafer_02,S04,-0.45,5.5109105961630896e-17,0.45,273.3576452171988,-310.96422346821294,613.9417056425781,1.0774425063465454,20.894609554433053,14.92278048263471,1949.264040186268
lot_001,wafer_02,S05,-0.2250000000000002,-0.3897114317029973,0.45,288.1110723904635,-293.11948918026593,637.2761308234097,1.014983338068582,22.973698681639735,14.160872057371169,1998.5403490912329
lot_001,wafer_02,S06,0.22500000000000006,-0.3897114317029974,0.45,301.81864510648506,-300.5529347547614,593.4516844067991,0.7294977553584598,20.031599736781033,15.533300510245876,2058.3242148059203
lot_001,wafer_02,S07,0.692820323027551,0.39999999999999997,0.8,300.50050778718486,-326.9045926356853,592.0958754186362,0.6732027940657743,18.499539315099362,15.6126956115533,2009.5122424059227
lot_001,wafer_02,S08,4.898587196589413e-17,0.8,0.8,303.0137617843891,-313.01898249760455,612.5334750577543,0.9909148995808912,23.248879051998674,16.727901352443954,1993.7990646228016
lot_001,wafer_02,S09,-0.6928203230275508,0.4000000000000003,0.8,309.1118473804158,-296.69110230405647,614.176061584254,0.931650723652997,17.232451099434844,17.03476310864656,2004.1881891619034
lot_001,wafer_02,S10,-0.6928203230275511,-0.3999999999999998,0.8,287.62068748562825,-302.77945820037297,608.5241959879535,0.9648991267415548,19.223079477557263,17.11534735997767,1944.4749924453058
lot_001,wafer_02,S11,-1.4695761589768238e-16,-0.8,0.8,310.86922520407774,-299.4379796645004,638.7977275977961,0.8962524096099953,18.457467029761382,15.251607156631643,2069.1765082403526
lot_001,wafer_02,S12,0.6928203230275511,-0.39999999999999974,0.8,287.25228456621016,-290.3210879457977,648.0967657257527,1.0987841761160595,19.84164299649258,17.681298972106013,2002.383108685233
lot_001,wafer_03,S00,0.0,0.0,0.05,294.51679437610136,-292.2901741458182,615.3813273592998,0.7688471685017504,21.190685904732234,13.16347870133892,1990.677317462155
lot_001,wafer_03,S01,0.45,0.0,0.45,298.0070165850993,-302.667249802984,639.4519268883347,0.7960921769985188,22.02410965478608,16.57235968661574,2009.7688893439406
lot_001,wafer_03,S02,0.22500000000000006,0.3897114317029974,0.45,304.55546499521057,-305.63672036789836,604.5566785958046,1.1023510447367537,20.48638742002588,16.52161584491861,1990.5585205303692
