lot,wafer,site,x,y,radius,vtn_mV,vtp_mV,idsat_uA,ioff_nA,rc_ohm,rs_ohm,rosc_MHz
lot_001,wafer_01,S00,0.0,0.0,0.05,300.6759385057558,-287.21689981523997,633.6409594930965,1.252207181723871,19.461917514851528,13.862765009562207,2050.5378860530395
lot_001,wafer_01,S01,0.45,0.0,0.45,311.81766215942383,-285.97540029823625,622.8941459719695,0.9624859607976395,18.17057048676668,14.472861644535142,2015.2982383551735
lot_001,wafer_01,S02,0.22500000000000006,0.3897114317029974,0.45,304.5209234366123,-292.46232424541876,610.6240788480576,0.8782998865117482,17.686550334815458,13.105135235360315,2039.7611860174495
lot_001,wafer_01,S03,-0.2249999999999999,0.38971143170299744,0.45,280.16898342167053,-294.14605150866254,637.4877434315316,1.399009428997105,20.350778212661723,16.231796390559342,2015.1081199479897
lot_001,wafer_01,S04,-0.45,5.5109105961630896e-17,0.45,301.12375354048635,-300.9321882049456,625.742530370891,0.98685700480405,21.670823964763233,15.037506635221003,2030.4655129320254
lot_001,wafer_01,S05,-0.2250000000000002,-0.3897114317029973,0.45,316.34933369461857,-283.4576945980997,595.7694252824373,1.0325543385251352,20.658193562854937,12.79082875793669,1989.4346977990929
lot_001,wafer_01,S06,0.22500000000000006,-0.3897114317029974,0.45,269.35031135922515,-300.46307265542873,596.4951695693255,1.1016928165905089,20.235096901892422,12.979426640756193,1999.9646463570875
lot_001,wafer_01,S07,0.692820323027551,0.39999999999999997,0.8,293.4968652002241,-297.72182199427345,592.7793084647619,0.6796011358705325,18.059060661710088,14.283367892701781,2040.567419722194
lot_001,wafer_01,S08,4.898587196589413e-17,0.8,0.8,282.6766677793134,-303.8098797290109,640.668068262336,1.1596576704658794,18.728477039816198,16.374983072804387,2022.358378161111
lot_001,wafer_01,S09,-0.6928203230275508,0.4000000000000003,0.8,289.84352883460787,-305.05108782026764,632.8210393651191,1.1004922406458615,21.451156962529485,14.859507881561377,1990.830702267317
lot_001,wafer_01,S10,-0.6928203230275511,-0.3999999999999998,0.8,301.3136605075074,-295.8117755815697,625.1088866337665,0.5553888763039777,18.08029566028772,15.540518187440078,1993.56482240321
